IDProtocollo,_TipoPersona,_AANascita,_Sesso,_TipoLesione,_Deceduto,_DecedutoDopo
2693805,Pedone,1956,M,Rimandato,False,NON DECEDUTO
2701629,Pedone,1970,M,Rimandato,False,NON DECEDUTO
2702594,Pedone,1964,F,Rimandato,False,NON DECEDUTO
2703080,Pedone,1991,F,Prognosi riservata,False,NON DECEDUTO
2704618,Pedone,1962,M,Ricoverato,False,NON DECEDUTO
2705182,Pedone,1993,F,Ricoverato,False,NON DECEDUTO
2707419,Pedone,1968,M,Ricoverato,False,NON DECEDUTO
2671522,Pedone,1949,M,Rimandato,False,NON DECEDUTO
2680496,Pedone,1993,M,Prognosi riservata,False,NON DECEDUTO
2690059,Pedone,1973,F,Rimandato,False,NON DECEDUTO
2685831,Pedone,1921,F,Rimandato,False,NON DECEDUTO
2690138,Pedone,1969,F,Rimandato,False,NON DECEDUTO
2692917,Pedone,0,M,Rimandato,False,NON DECEDUTO
2695144,Pedone,1944,F,Rimandato,False,NON DECEDUTO
2691377,Pedone,2001,F,Rimandato,False,NON DECEDUTO
2643250,Pedone,1967,M,Rimandato,False,NON DECEDUTO
2714201,Pedone,1995,F,Rimandato,False,NON DECEDUTO
2649498,Pedone,1946,M,Rimandato,False,NON DECEDUTO
2653760,Pedone,1959,M,Rimandato,False,NON DECEDUTO
2653713,Pedone,1930,M,Rimandato,False,NON DECEDUTO
2650625,Pedone,1960,M,Deceduto durante prime cure,True,
2667400,Pedone,1997,M,Rimandato,False,NON DECEDUTO
2680604,Pedone,2002,M,Rimandato,False,NON DECEDUTO
2677464,Pedone,1937,F,Rifiuta cure immediate,False,NON DECEDUTO
2680463,Pedone,1941,F,Ricoverato,False,NON DECEDUTO
2679037,Pedone,1994,F,Rimandato,False,NON DECEDUTO
2677284,Pedone,1957,F,Ricoverato,False,NON DECEDUTO
2681495,Pedone,1959,F,Rimandato,False,NON DECEDUTO
2676169,Pedone,1972,F,Rifiuta cure immediate,False,NON DECEDUTO
2690603,Pedone,1983,M,Illeso,False,
2691387,Pedone,1951,F,Illeso,False,
2681100,Pedone,1968,M,Illeso,False,
2699695,Pedone,1977,M,Illeso,False,
2641421,Pedone,1956,M,Illeso,False,
2677937,Pedone,1974,M,Rimandato,False,NON DECEDUTO
2641495,Pedone,1984,F,Rimandato,False,NON DECEDUTO
2641504,Pedone,1938,M,Ricoverato,False,NON DECEDUTO
2658650,Pedone,1962,F,Rimandato,False,NON DECEDUTO
2659326,Pedone,1945,M,Rimandato,False,NON DECEDUTO
2670438,Pedone,0,F,Ricoverato,False,NON DECEDUTO
2664258,Pedone,2005,M,Rimandato,False,NON DECEDUTO
2671500,Pedone,2001,F,Rimandato,False,NON DECEDUTO
